Sample,Group,Tide,Day_Night,Date,Salinity_Gump,SamplingTime,Temp_Gump,pH_Gump,mV_Gump,Notes,TempInSitu,TA,TrisCalDate,Salinity_CSUN,Salinity_Calibration_Date
SandAmbient1,SandAmbient,low,day,6/22/22,36.1,14:30,23.504,NA,-79.7,,,,,,
SandAmbient2,SandAmbient,low,day,6/22/22,36.1,14:30,23.629,,,,,,,,
SandAmbient3,SandAmbient,low,day,6/22/22,36.3,14:30,23.691,,,,,,,,
ReefAmbient1,ReefAmbient,low,day,6/22/22,36.1,14:30,23.65,,,,,,,,
ReefAmbient2,ReefAmbient,low,day,6/22/22,36.1,14:30,23.543,,,,,,,,
ReefAmbient3,ReefAmbient,low,day,6/22/22,36.2,14:30,24.01,,,,,,,,
ReefSGD1,ReefSGD,low,day,6/22/22,36,14:30,23.62,,,,,,,,
ReefSGD2,ReefSGD,low,day,6/22/22,36.3,14:30,23.985,,,,,,,,
ReefSGD3,ReefSGD,low,day,6/22/22,36.2,14:30,23.827,,,,,,,,
RockSGD1,ReefSGD,low,day,6/22/22,35.9,14:30,23.875,,,,,,,,
RockSGD2,ReefSGD,low,day,6/22/22,36,14:30,23.945,,,,,,,,
RockSGD3,ReefSGD,low,day,6/22/22,35.4,14:30,23.751,,,,,,,,
SandSGD1,ReefSGD,low,day,6/22/22,35.9,14:30,24.126,,,,,,,,
SandSGD2,ReefSGD,low,day,6/22/22,35.7,14:30,24.219,,,,,,,,
SandSGD3,ReefSGD,low,day,6/22/22,27.4,14:30,24.374,,,,,,,,
